algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1500,5,7,955757
mmClasicaFork,1500,5,8,943744
mmClasicaFork,1500,5,9,951168
mmClasicaFork,1500,5,10,957959
mmClasicaFork,1500,5,11,955956
mmClasicaFork,1500,5,12,949408
mmClasicaFork,1500,5,13,953038
mmClasicaFork,1500,5,14,948815
mmClasicaFork,1500,5,15,947691
mmClasicaFork,1500,5,16,958497
mmClasicaFork,1500,5,17,950739
mmClasicaFork,1500,5,18,954252
mmClasicaFork,1500,5,19,944283
mmClasicaFork,1500,5,20,965196
mmClasicaFork,1500,5,21,947383
mmClasicaFork,1500,5,22,956505
mmClasicaFork,1500,5,23,946244
mmClasicaFork,1500,5,24,950083
mmClasicaFork,1500,5,25,952284
mmClasicaFork,1500,5,26,957858
mmClasicaFork,1500,5,27,952005
mmClasicaFork,1500,5,28,943049
mmClasicaFork,1500,5,29,953773
mmClasicaFork,1500,5,30,947713
mmClasicaFork,1500,6,1,786895
mmClasicaFork,1500,6,2,792967
mmClasicaFork,1500,6,3,793491
mmClasicaFork,1500,6,4,792580
mmClasicaFork,1500,6,5,792622
mmClasicaFork,1500,6,6,791556
mmClasicaFork,1500,6,7,788994
mmClasicaFork,1500,6,8,788358
mmClasicaFork,1500,6,9,793044
mmClasicaFork,1500,6,10,789976
mmClasicaFork,1500,6,11,790799
mmClasicaFork,1500,6,12,785501
mmClasicaFork,1500,6,13,785988
mmClasicaFork,1500,6,14,784855
mmClasicaFork,1500,6,15,794272
mmClasicaFork,1500,6,16,788082
mmClasicaFork,1500,6,17,789119
mmClasicaFork,1500,6,18,790503
mmClasicaFork,1500,6,19,791000
mmClasicaFork,1500,6,20,790223
mmClasicaFork,1500,6,21,792553
mmClasicaFork,1500,6,22,787876
mmClasicaFork,1500,6,23,790436
mmClasicaFork,1500,6,24,783604
mmClasicaFork,1500,6,25,786347
mmClasicaFork,1500,6,26,785803
mmClasicaFork,1500,6,27,790016
mmClasicaFork,1500,6,28,787533
mmClasicaFork,1500,6,29,785441
mmClasicaFork,1500,6,30,790930
mmClasicaFork,1500,7,1,683422
mmClasicaFork,1500,7,2,687798
mmClasicaFork,1500,7,3,676519
mmClasicaFork,1500,7,4,678801
mmClasicaFork,1500,7,5,686391
mmClasicaFork,1500,7,6,677586
mmClasicaFork,1500,7,7,679545
mmClasicaFork,1500,7,8,675489
mmClasicaFork,1500,7,9,681118
mmClasicaFork,1500,7,10,678861
mmClasicaFork,1500,7,11,678654
mmClasicaFork,1500,7,12,681877
mmClasicaFork,1500,7,13,680608
mmClasicaFork,1500,7,14,681100
mmClasicaFork,1500,7,15,686198
mmClasicaFork,1500,7,16,677906
mmClasicaFork,1500,7,17,680910
mmClasicaFork,1500,7,18,686377
mmClasicaFork,1500,7,19,679992
mmClasicaFork,1500,7,20,677331
mmClasicaFork,1500,7,21,679162
mmClasicaFork,1500,7,22,682100
mmClasicaFork,1500,7,23,678049
mmClasicaFork,1500,7,24,679283
mmClasicaFork,1500,7,25,677553
mmClasicaFork,1500,7,26,680665
mmClasicaFork,1500,7,27,682777
mmClasicaFork,1500,7,28,676598
mmClasicaFork,1500,7,29,677556
mmClasicaFork,1500,7,30,679120
mmClasicaFork,2000,1,1,17410749
mmClasicaFork,2000,1,2,17519861
mmClasicaFork,2000,1,3,17464292
mmClasicaFork,2000,1,4,17368431
mmClasicaFork,2000,1,5,16325934
mmClasicaFork,2000,1,6,16147142
mmClasicaFork,2000,1,7,16896729
mmClasicaFork,2000,1,8,17160103
mmClasicaFork,2000,1,9,16917770
mmClasicaFork,2000,1,10,16773647
mmClasicaFork,2000,1,11,17071616
mmClasicaFork,2000,1,12,17045222
mmClasicaFork,2000,1,13,16046971
mmClasicaFork,2000,1,14,15875147
mmClasicaFork,2000,1,15,16605380
mmClasicaFork,2000,1,16,16154836
mmClasicaFork,2000,1,17,16017728
mmClasicaFork,2000,1,18,16614424
mmClasicaFork,2000,1,19,16223966
mmClasicaFork,2000,1,20,16026539
mmClasicaFork,2000,1,21,16049171
mmClasicaFork,2000,1,22,16242834
mmClasicaFork,2000,1,23,16051845
mmClasicaFork,2000,1,24,16133987
mmClasicaFork,2000,1,25,15945491
mmClasicaFork,2000,1,26,15739050
mmClasicaFork,2000,1,27,15880630
mmClasicaFork,2000,1,28,15906840
mmClasicaFork,2000,1,29,16842025
mmClasicaFork,2000,1,30,16460425
mmClasicaFork,2000,2,1,8305877
mmClasicaFork,2000,2,2,8738985
mmClasicaFork,2000,2,3,8406254
mmClasicaFork,2000,2,4,8361646
mmClasicaFork,2000,2,5,8336485
mmClasicaFork,2000,2,6,8831597
mmClasicaFork,2000,2,7,8397430
mmClasicaFork,2000,2,8,8366025
mmClasicaFork,2000,2,9,8501537
mmClasicaFork,2000,2,10,8311318
mmClasicaFork,2000,2,11,8409531
mmClasicaFork,2000,2,12,8310953
mmClasicaFork,2000,2,13,8483461
mmClasicaFork,2000,2,14,8752156
mmClasicaFork,2000,2,15,8421077
mmClasicaFork,2000,2,16,8616118
mmClasicaFork,2000,2,17,8637133
mmClasicaFork,2000,2,18,8705623
mmClasicaFork,2000,2,19,8541252
mmClasicaFork,2000,2,20,8682256
mmClasicaFork,2000,2,21,8375919
mmClasicaFork,2000,2,22,8712671
mmClasicaFork,2000,2,23,8555165
mmClasicaFork,2000,2,24,8429518
mmClasicaFork,2000,2,25,8384676
mmClasicaFork,2000,2,26,8485456
mmClasicaFork,2000,2,27,8425027
mmClasicaFork,2000,2,28,8835913
mmClasicaFork,2000,2,29,8861493
mmClasicaFork,2000,2,30,8856228
mmClasicaFork,2000,3,1,5924791
mmClasicaFork,2000,3,2,5935149
mmClasicaFork,2000,3,3,5751027
mmClasicaFork,2000,3,4,5658262
mmClasicaFork,2000,3,5,5625142
mmClasicaFork,2000,3,6,5632304
mmClasicaFork,2000,3,7,5648478
mmClasicaFork,2000,3,8,5699630
mmClasicaFork,2000,3,9,5750268
mmClasicaFork,2000,3,10,5720362
mmClasicaFork,2000,3,11,5706769
mmClasicaFork,2000,3,12,5713365
mmClasicaFork,2000,3,13,5693722
mmClasicaFork,2000,3,14,5624186
mmClasicaFork,2000,3,15,5679510
mmClasicaFork,2000,3,16,5684235
mmClasicaFork,2000,3,17,5727990
mmClasicaFork,2000,3,18,5651031
mmClasicaFork,2000,3,19,5644592
mmClasicaFork,2000,3,20,5771091
mmClasicaFork,2000,3,21,5968355
mmClasicaFork,2000,3,22,5705407
mmClasicaFork,2000,3,23,5669959
mmClasicaFork,2000,3,24,5697179
mmClasicaFork,2000,3,25,5914874
mmClasicaFork,2000,3,26,5927849
mmClasicaFork,2000,3,27,5975435
mmClasicaFork,2000,3,28,5950762
mmClasicaFork,2000,3,29,5970286
mmClasicaFork,2000,3,30,5732615
mmClasicaFork,2000,4,1,4281012
mmClasicaFork,2000,4,2,4264876
mmClasicaFork,2000,4,3,4284527
mmClasicaFork,2000,4,4,4251394
mmClasicaFork,2000,4,5,4400941
mmClasicaFork,2000,4,6,4288562
mmClasicaFork,2000,4,7,4277890
mmClasicaFork,2000,4,8,4319749
mmClasicaFork,2000,4,9,4256955
mmClasicaFork,2000,4,10,4425145
mmClasicaFork,2000,4,11,4414095
mmClasicaFork,2000,4,12,4447324
mmClasicaFork,2000,4,13,4476633
mmClasicaFork,2000,4,14,4338597
mmClasicaFork,2000,4,15,4326590
mmClasicaFork,2000,4,16,4344776
mmClasicaFork,2000,4,17,4233845
mmClasicaFork,2000,4,18,4245621
mmClasicaFork,2000,4,19,4264938
mmClasicaFork,2000,4,20,4235642
mmClasicaFork,2000,4,21,4331475
mmClasicaFork,2000,4,22,4443026
mmClasicaFork,2000,4,23,4409454
mmClasicaFork,2000,4,24,4298779
mmClasicaFork,2000,4,25,4289623
mmClasicaFork,2000,4,26,4288222
mmClasicaFork,2000,4,27,4316301
mmClasicaFork,2000,4,28,4238888
mmClasicaFork,2000,4,29,4422741
mmClasicaFork,2000,4,30,4307547
mmClasicaFork,2000,5,1,3353429
mmClasicaFork,2000,5,2,3384418
mmClasicaFork,2000,5,3,3418340
mmClasicaFork,2000,5,4,3447459
mmClasicaFork,2000,5,5,3423071
mmClasicaFork,2000,5,6,3409077
mmClasicaFork,2000,5,7,3429709
mmClasicaFork,2000,5,8,3419932
mmClasicaFork,2000,5,9,3532971
mmClasicaFork,2000,5,10,3505853
mmClasicaFork,2000,5,11,3504731
mmClasicaFork,2000,5,12,3482812
mmClasicaFork,2000,5,13,3432595
mmClasicaFork,2000,5,14,3485928
mmClasicaFork,2000,5,15,3500383
mmClasicaFork,2000,5,16,3512644
mmClasicaFork,2000,5,17,3491071
mmClasicaFork,2000,5,18,3512153
mmClasicaFork,2000,5,19,3538210
mmClasicaFork,2000,5,20,3560970
mmClasicaFork,2000,5,21,3501015
mmClasicaFork,2000,5,22,3529910
mmClasicaFork,2000,5,23,3535377
mmClasicaFork,2000,5,24,3440450
mmClasicaFork,2000,5,25,3509040
mmClasicaFork,2000,5,26,3449934
mmClasicaFork,2000,5,27,3446052
mmClasicaFork,2000,5,28,3429296
mmClasicaFork,2000,5,29,3457198
mmClasicaFork,2000,5,30,3554117
mmClasicaFork,2000,6,1,2958437
mmClasicaFork,2000,6,2,2937309
mmClasicaFork,2000,6,3,2921287
mmClasicaFork,2000,6,4,2984093
mmClasicaFork,2000,6,5,2930919
mmClasicaFork,2000,6,6,2969390
mmClasicaFork,2000,6,7,3028475
mmClasicaFork,2000,6,8,3023401
mmClasicaFork,2000,6,9,3050166
mmClasicaFork,2000,6,10,3007285
mmClasicaFork,2000,6,11,3011186
mmClasicaFork,2000,6,12,3026019
mmClasicaFork,2000,6,13,3064705
mmClasicaFork,2000,6,14,3117086
mmClasicaFork,2000,6,15,3114079
mmClasicaFork,2000,6,16,3112606
mmClasicaFork,2000,6,17,3151857
mmClasicaFork,2000,6,18,3127757
mmClasicaFork,2000,6,19,3129108
mmClasicaFork,2000,6,20,3113684
mmClasicaFork,2000,6,21,3123043
mmClasicaFork,2000,6,22,3159346
mmClasicaFork,2000,6,23,3195371
mmClasicaFork,2000,6,24,3204662
mmClasicaFork,2000,6,25,3113980
mmClasicaFork,2000,6,26,3165604
mmClasicaFork,2000,6,27,3158086
mmClasicaFork,2000,6,28,3169078
mmClasicaFork,2000,6,29,3135969
mmClasicaFork,2000,6,30,3101834
mmClasicaFork,2000,7,1,2791752
mmClasicaFork,2000,7,2,2799831
mmClasicaFork,2000,7,3,2805844
mmClasicaFork,2000,7,4,2806488
mmClasicaFork,2000,7,5,2812920
mmClasicaFork,2000,7,6,2758347
mmClasicaFork,2000,7,7,2787207
mmClasicaFork,2000,7,8,2763391
mmClasicaFork,2000,7,9,2820322
